name,storePrice,internetPrice,cardPrice,page
APPLE IPHONE SE 64GB NEGRO,439990,399990,389990,Ripley
IPHONE 11 64GB NEGRO,669990,619990,599990,Ripley
IPHONE 11 128GB NEGRO,729990,709990,689990,Ripley
IPHONE 12 128GB NEGRO,929990,889990,869990,Ripley
IPHONE XR 64GB NEGRO,549990,519990,499990,Ripley
IPHONE XR 64GB BLANCO,549990,519990,499990,Ripley
IPHONE 12 PRO MAX 128GB GRAFITO,Na,1199990,Na,Ripley
IPHONE 12 PRO 128GB GRAFITO,Na,1099990,Na,Ripley
IPHONE SE 64 GB BLANCO,454990,419990,399990,Ripley
IPHONE SE 64GB BLANCO,429990,419990,399990,Ripley
IPHONE 12 PRO MAX 128GB GOLD,Na,1199990,Na,Ripley
IPHONE 12 MINI 128GB NEGRO,849990,799990,759990,Ripley
IPHONE SE 64 GB NEGRO,449990,419990,399990,Ripley
IPHONE 12 MINI 64GB NEGRO,769990,719990,699990,Ripley
IPHONE 12 64GB BLANCO,869990,839990,819990,Ripley
IPHONE SE 64GB NEGRO,429990,419990,399990,Ripley
IPHONE 12 64GB NEGRO,869990,839990,819990,Ripley
APPLE IPHONE 12 64GB NEGRO,Na,899990,Na,Ripley
iPhone XR 64GB Negro,749990,479990,479990,Paris
iPhone XR 64GB Blanco,749990,479990,479990,Paris
iPhone 12 Pro Max 128GB Azul Pacífico,Na,1199990,1199990,Paris
iPhone 11 64GB Morado ,699990,599990,599990,Paris
iPhone 12 Pro Max 256GB Azul Pacífico,Na,1299990,1299990,Paris
iPhone XR 64GB (PRODUCT)RED,749990,479990,479990,Paris
iPhone 11 64GB Blanco,699990,599990,599990,Paris
iPhone 11 128GB RED,749990,689990,689990,Paris
iPhone SE 64GB (PRODUCT)RED,429990,409990,409990,Paris
iPhone 11 64GB Negro,699990,599990,599990,Paris
iPhone 12 Pro Max 256GB Color Grafito,Na,1299990,1299990,Paris
iPhone XR 128GB Blanco,799990,559990,559990,Paris
iPhone 11 64GB Verde ,699990,599990,599990,Paris
iPhone 11 64GB (PRODUCT)RED,699990,599990,599990,Paris
iPhone 12 Pro Max 128GB Color Plata,Na,1199990,1199990,Paris
iPhone 12 128GB (PRODUCT)RED,929990,869990,869990,Paris
iPhone 11 256GB Negro,849990,789990,789990,Paris
iPhone SE 64GB Negro,429990,409990,409990,Paris
iPhone 12 Pro 128GB Color Plata,Na,1099990,1099990,Paris
iPhone 12 mini 64GB Azul,769990,699990,699990,Paris
iPhone XR 128GB Negro,799990,559990,559990,Paris
iPhone SE 64GB Blanco,429990,409990,409990,Paris
iPhone 12 64GB Azul,869990,819990,819990,Paris
iPhone 12 64GB Negro,869990,819990,819990,Paris
iPhone 12 Pro 128GB Azul Pacífico,Na,1099990,1099990,Paris
iPhone 12 Pro Max 512GB Color Grafito,Na,1549990,1549990,Paris
iPhone SE 128GB Negro,489990,479990,479990,Paris
iPhone 12 mini 64GB Negro,769990,699990,699990,Paris
iPhone 11 256GB Blanco,849990,789990,789990,Paris
iPhone 12 64GB Morado,869990,819990,819990,Paris
iPhone 12 Pro 128GB Color Oro,Na,1099990,1099990,Paris
iPhone 12 64GB Blanco,869990,819990,819990,Paris
iPhone XR 128 GB (PRODUCT)RED,799990,559990,559990,Paris
iPhone 12 128GB Blanco,929990,869990,869990,Paris
iPhone 12 Pro Max 128GB Color Grafito,Na,1199990,1199990,Paris
iPhone XR 64GB (PRODUCT)RED,Na,749990,749990,Paris
iPhone 12 mini 64GB Blanco,769990,699990,699990,Paris
iPhone 12 mini 64GB Morado,769990,699990,699990,Paris
iPhone XR 64GB Color Coral,749990,479990,479990,Paris
iPhone 12 64GB (PRODUCT)RED,869990,819990,819990,Paris
Apple iPhone 8 256GB - Negro,549990,284990,269990,Linio
Apple iPhone 8 64GB - Rojo,549090,249990,244990,Linio
iPhone 8 Apple 64GB-Rojo,468690,197990,189990,Linio
iPhone 8 64 GB - Gold - Apple,450000,199990,189990,Linio
IPhone 8 64GB A1905-Negro,547090,197990,189990,Linio
iPhone 12 Pro Max 128GB - AZUL,1499990,1079900,Na,Linio
iPhone 12 Pro 128GB - Silver,1299990,989900,Na,Linio
Smartphone Iphone 11 128Gb,729990,659990,Na,Linio
iPhone 12 Pro 128GB - Grafito,1299990,989900,Na,Linio
IPhone 8 64GB A1905-Dorado,547090,197990,189990,Linio
IPhone 8 64GB A1905 -Rojo,547090,197990,189990,Linio
iPhone SE 2020 128GB Blanco,599999,409990,389990,Linio
iPhone 12 128GB - 4GB RAM - Blanco,1099990,819900,Na,Linio
Apple IPhone X 64GB - Blanco,952990,395990,379990,Linio
"iPhone 11 128GB - Púrpura CPO, Sellado...",899990,589990,Na,Linio
IPHONE 11 PRO MAX SPACE GRAY 64GB,1099990,649990,639990,Linio
IPHONE 11 PRO MAX SPACE GRAY 256GB,1299990,789990,779990,Linio
IPHONE 11 PRO MAX MID GREEN 64GB,1099990,649990,639990,Linio
iPhone 12 Pro Max 256GB - azul,1699990,1169900,Na,Linio
Apple iPhone 8 64GB - Dorado,549090,249990,244990,Linio
iPhone SE 2020 128GB Negro,599990,409990,389990,Linio
Apple IPhone 8 Plus 64GB - Dorado,733390,347990,329990,Linio
Apple IPhone X 64GB - Negro,952990,399990,Na,Linio
Apple IPhone 7 Plus 128GB - Oro Rosa,670590,287990,274990,Linio
Smartphone Iphone 11 64Gb,669990,599990,Na,Linio
Apple iPhone XR 128GB - Coral,988290,479990,469990,Linio
Apple iPhone 8 256GB - Dorado,639190,285990,Na,Linio
Apple iPhone XR 128GB - Negro,988290,485990,Na,Linio
Apple iPhone 8 64GB - Blanco,549090,249990,244990,Linio
Apple IPhone X 256GB - Blanco,1049090,470990,449990,Linio
iPhone X 256GB - Space Gray (Desbloquead...,764990,391990,359990,Linio
iPhone 8 Plus 64GB - Gold,668690,295990,284990,Linio
iPhone X iOs 64GB-Silver,950990,359990,334990,Linio
iPhone 12 64GB - 4GB RAM - Rojo,999990,779900,Na,Linio
Apple iPhone XS 64G - Dorado,907890,460990,449990,Linio
iPhone 12 Pro 128GB - Gold,1299990,989900,Na,Linio
Apple iPhone XR 64GB - Negro,899990,425990,Na,Linio
Apple iPhone XR 128GB - Blanco,988290,478990,Na,Linio
iPhone 12 128GB - 4GB RAM - Negro,1099990,819900,Na,Linio
iPhone 12 128GB - 4GB RAM - Azul,1099990,819900,Na,Linio
Apple Iphone 11 64GB - Blanco,1034710,535990,509990,Linio
Apple Iphone XR 64GB - Blanco,697461,350990,344990,Linio
IPhone 8 Plus 64GB A1897-Dorado,768690,293990,279990,Linio
Apple Iphone X 64GB - Plata,583455,321990,299990,Linio
Apple iPhone 8 Plus 64GB - Space Gray,668690,299990,Na,Linio
IPHONE 11 PRO MAX GOLD 64GB,1099990,729990,719990,Linio
Iphone SE 2020 - 64 GB Negro,450000,315990,299990,Linio
Apple iphone XS 64G - Dorado,721990,370990,349990,Linio
iPhone XS 256gb Silver Reacond. Clase A,649990,459990,Na,Linio
iPhone 12 Pro 256GB - Pacific Blue,1399990,1079900,Na,Linio
iPhone 12 Pro 256GB - Silver,1399990,1079900,Na,Linio
iPhone 12 mini 64GB - NEGRO,899900,679900,Na,Linio
iPhone 12 64GB - 4GB RAM - Azul,999990,779900,Na,Linio
Apple iPhone XR 128GB - Amarillo,988290,478990,Na,Linio
iPhone 12 Pro 256GB - Gold,1399990,1079900,Na,Linio
Apple iPhone XR 64GB - Blanco,899990,420990,409990,Linio
iPhone 12 64GB - 4GB RAM - Verde,999990,779900,Na,Linio
iPhone 12 Pro Max 256GB - Silver,1699990,1169900,Na,Linio
Preventa iPhone 11 128 GB Space Gray,989990,639900,Na,Linio
iPhone XS 64gb Gold,759990,391990,Na,Linio
